,Date,Count,WeekDate,WeekCount
210,2015-06-27,15317.0,2015-06-22,125841.0
211,2015-06-28,11341.0,2015-06-22,125841.0
212,2015-06-29,12972.0,2015-06-29,76943.0
213,2015-06-30,7375.0,2015-06-29,76943.0
214,2015-07-01,10109.0,2015-06-29,76943.0
215,2015-07-02,10859.0,2015-06-29,76943.0
216,2015-07-03,4695.0,2015-06-29,76943.0
217,2015-07-04,15992.0,2015-06-29,76943.0
218,2015-07-05,14941.0,2015-06-29,76943.0
219,2015-07-06,26810.0,2015-07-06,109332.0
220,2015-07-07,12349.0,2015-07-06,109332.0
221,2015-07-08,18827.0,2015-07-06,109332.0
222,2015-07-09,7886.0,2015-07-06,109332.0
223,2015-07-10,10359.0,2015-07-06,109332.0
224,2015-07-11,17849.0,2015-07-06,109332.0
225,2015-07-12,15252.0,2015-07-06,109332.0
226,2015-07-13,3089.0,2015-07-13,42548.0
227,2015-07-14,4558.0,2015-07-13,42548.0
228,2015-07-15,11666.0,2015-07-13,42548.0
229,2015-07-16,4555.0,2015-07-13,42548.0
230,2015-07-17,5420.0,2015-07-13,42548.0
231,2015-07-18,2480.0,2015-07-13,42548.0
232,2015-07-19,10780.0,2015-07-13,42548.0
233,2015-07-20,5174.0,2015-07-20,50244.0
234,2015-07-21,8749.0,2015-07-20,50244.0
235,2015-07-22,3236.0,2015-07-20,50244.0
236,2015-07-23,4990.0,2015-07-20,50244.0
237,2015-07-24,12319.0,2015-07-20,50244.0
238,2015-07-25,3893.0,2015-07-20,50244.0
239,2015-07-26,11883.0,2015-07-20,50244.0
240,2015-07-27,6043.0,2015-07-27,62591.0
241,2015-07-28,12437.0,2015-07-27,62591.0
242,2015-07-29,5228.0,2015-07-27,62591.0
243,2015-07-30,8757.0,2015-07-27,62591.0
244,2015-07-31,12158.0,2015-07-27,62591.0
245,2015-08-01,12669.0,2015-07-27,62591.0
246,2015-08-02,5299.0,2015-07-27,62591.0
247,2015-08-03,9983.0,2015-08-03,62139.0
248,2015-08-04,4908.0,2015-08-03,62139.0
249,2015-08-05,12274.0,2015-08-03,62139.0
250,2015-08-06,10714.0,2015-08-03,62139.0
251,2015-08-07,11137.0,2015-08-03,62139.0
252,2015-08-08,3088.0,2015-08-03,62139.0
253,2015-08-09,10035.0,2015-08-03,62139.0
254,2015-08-10,4989.0,2015-08-10,62603.0
255,2015-08-11,12573.0,2015-08-10,62603.0
256,2015-08-12,7136.0,2015-08-10,62603.0
257,2015-08-13,8792.0,2015-08-10,62603.0
258,2015-08-14,11185.0,2015-08-10,62603.0
259,2015-08-15,3670.0,2015-08-10,62603.0
260,2015-08-16,14258.0,2015-08-10,62603.0
261,2015-08-17,10760.0,2015-08-17,61109.0
262,2015-08-18,7340.0,2015-08-17,61109.0
263,2015-08-19,5926.0,2015-08-17,61109.0
264,2015-08-20,4169.0,2015-08-17,61109.0
265,2015-08-21,11441.0,2015-08-17,61109.0
266,2015-08-22,8485.0,2015-08-17,61109.0
267,2015-08-23,12988.0,2015-08-17,61109.0
268,2015-08-24,6549.0,2015-08-24,52572.0
269,2015-08-25,6932.0,2015-08-24,52572.0
270,2015-08-26,12268.0,2015-08-24,52572.0
