Date,Count,WeekDate,WeekCount
2018-06-30,13177.0,2018-06-25,100155.0
2018-07-01,14123.0,2018-06-25,100155.0
2018-07-02,18542.0,2018-07-02,99490.0
2018-07-03,19459.0,2018-07-02,99490.0
2018-07-04,12849.0,2018-07-02,99490.0
2018-07-05,13907.0,2018-07-02,99490.0
2018-07-06,8107.0,2018-07-02,99490.0
2018-07-07,13635.0,2018-07-02,99490.0
2018-07-08,12991.0,2018-07-02,99490.0
2018-07-09,9980.0,2018-07-09,83659.0
2018-07-10,11191.0,2018-07-09,83659.0
2018-07-11,15447.0,2018-07-09,83659.0
2018-07-12,11813.0,2018-07-09,83659.0
2018-07-13,12795.0,2018-07-09,83659.0
2018-07-14,12717.0,2018-07-09,83659.0
2018-07-15,9716.0,2018-07-09,83659.0
2018-07-16,10758.0,2018-07-16,58856.0
2018-07-17,8500.0,2018-07-16,58856.0
2018-07-18,9241.0,2018-07-16,58856.0
2018-07-19,8602.0,2018-07-16,58856.0
2018-07-20,5457.0,2018-07-16,58856.0
2018-07-21,4760.0,2018-07-16,58856.0
2018-07-22,11538.0,2018-07-16,58856.0
2018-07-23,8560.0,2018-07-23,65082.0
2018-07-24,4910.0,2018-07-23,65082.0
2018-07-25,6657.0,2018-07-23,65082.0
2018-07-26,5921.0,2018-07-23,65082.0
2018-07-27,14941.0,2018-07-23,65082.0
2018-07-28,9194.0,2018-07-23,65082.0
2018-07-29,14899.0,2018-07-23,65082.0
2018-07-30,10124.0,2018-07-30,82683.0
2018-07-31,7146.0,2018-07-30,82683.0
2018-08-01,14163.0,2018-07-30,82683.0
2018-08-02,7783.0,2018-07-30,82683.0
2018-08-03,15434.0,2018-07-30,82683.0
2018-08-04,9500.0,2018-07-30,82683.0
2018-08-05,18533.0,2018-07-30,82683.0
2018-08-06,11631.0,2018-08-06,56396.0
2018-08-07,5441.0,2018-08-06,56396.0
2018-08-08,15056.0,2018-08-06,56396.0
2018-08-09,7296.0,2018-08-06,56396.0
2018-08-10,6483.0,2018-08-06,56396.0
2018-08-11,3053.0,2018-08-06,56396.0
2018-08-12,7436.0,2018-08-06,56396.0
2018-08-13,9691.0,2018-08-13,70567.0
2018-08-14,12359.0,2018-08-13,70567.0
2018-08-15,11128.0,2018-08-13,70567.0
2018-08-16,6571.0,2018-08-13,70567.0
2018-08-17,13165.0,2018-08-13,70567.0
2018-08-18,5448.0,2018-08-13,70567.0
2018-08-19,12205.0,2018-08-13,70567.0
2018-08-20,11154.0,2018-08-20,76770.0
2018-08-21,5862.0,2018-08-20,76770.0
2018-08-22,14932.0,2018-08-20,76770.0
2018-08-23,14235.0,2018-08-20,76770.0
2018-08-24,12933.0,2018-08-20,76770.0
2018-08-25,6082.0,2018-08-20,76770.0
2018-08-26,11572.0,2018-08-20,76770.0
2018-08-27,8418.0,2018-08-27,73736.0
2018-08-28,13556.0,2018-08-27,73736.0
2018-08-29,7394.0,2018-08-27,73736.0
2018-08-30,12764.0,2018-08-27,73736.0
2018-08-31,11139.0,2018-08-27,73736.0
2018-09-01,7439.0,2018-08-27,73736.0
2018-09-02,13026.0,2018-08-27,73736.0
2018-09-03,9893.0,2018-09-03,74701.0
2018-09-04,9590.0,2018-09-03,74701.0
2018-09-05,18315.0,2018-09-03,74701.0
2018-09-06,8741.0,2018-09-03,74701.0
2018-09-07,9698.0,2018-09-03,74701.0
2018-09-08,4242.0,2018-09-03,74701.0
